SMILES,HOMO,LUMO,E_gap,E_st
C12=C(c3c([C]1SC(=C2)c1c(cc(c2c4c(c(c5c2nc(c(n5)C)C)c2cc(c(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2c(cc(c5c6c(c(c7c5nc(c(n7)C)C)c5cc(cs5)C)nsn6)s2)C)C)nsn4)s1)C)scc3)[CH]c1cc(cc(c1)OC)OC,-4.280897448,-3.135841736,1.145055712,0.38422007
c12c(-c3c(ccs3)/C/2=C/c2cc(cc(c2)OC)OC)sc(c1)c1cc(c(c2c3c(c(c4c2nc(c(n4)C)C)c2c(cc(s2)c2sc4-c5c(cc(s5)c5cc(c(c6c7c(c(c8c6nc(c(n8)C)C)c6c(ccs6)C)nsn7)s5)C)/C(=C\c5cc(cc(c5)OC)OC)/c4c2)C)nsn3)s1)C,-4.539949976,-2.990260746,1.54968923,0.679741044
C12=C(c3c([C]1SC(=C2)c1c(cc(c2c4c(c(c5c2nc(c(n5)C)C)c2cc(c(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2c(cc(c5c6c(c(c7c5nc(c(n7)C)C)c5cc(cs5)OC)nsn6)s2)OC)OC)nsn4)s1)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.091506104,-3.151624348,0.939881756,0.227407302
c12c(-c3c(ccs3)/C/2=C/c2cc(cc(c2)OC)OC)sc(c1)c1cc(c(c2c3c(c(c4c2nc(c(n4)C)C)c2c(cc(s2)c2sc4-c5c(cc(s5)c5cc(c(c6c7c(c(c8c6nc(c(n8)C)C)c6c(ccs6)OC)nsn7)s5)OC)/C(=C\c5cc(cc(c5)OC)OC)/c4c2)OC)nsn3)s1)OC,-4.45586675,-2.86944213,1.58642462,0.6110543
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)C)C)c2c(c(c(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2c(c(c(c5c6c(c(c7c5nc(c(n7)C)C)c5c(c(cs5)OC)OC)nsn6)s2)OC)OC)OC)OC)nsn4)s1)OC)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.41232851,-2.901551582,1.510776928,0.633629966
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)C)C)c2c(c(c(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5c(c(c(c6c7c(c(c8c6nc(c(n8)C)C)c6c(c(c[se]6)OC)OC)nsn7)[se]5)OC)OC)[se]2)OC)OC)nsn4)[se]1)OC)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.34702115,-2.956790724,1.390230426,0.443083226
C12=C(c3c([C]1SC(=C2)c1c(cc(c2c4c(c(c5c2nc(c(n5)C)C)c2cc(c(s2)c2sc5-c6c(cc(s6)c6c(cc(c7c8c(c(c9c7nc(c(n9)C)C)c7cc(cs7)F)nsn8)s6)F)/C(=C\c6cc(cc(c6)OC)OC)/c5c2)F)nsn4)s1)F)scc3)[CH]c1cc(cc(c1)OC)OC,-4.453961952,-3.36196847,1.091993482,0.376056106
C12=C(c3c([C]1SC(=C2)c1cc(c(c2c4c(c(c5c2nc(c(n5)C)C)c2c(cc(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2cc(c(c5c6c(c(c7c5nc(c(n7)C)C)c5c(ccs5)F)nsn6)s2)F)F)nsn4)s1)F)scc3)[CH]c1cc(cc(c1)OC)OC,-4.631108166,-3.049309484,1.581798682,0.626580037
c12c(-c3c(ccs3)/C/2=C/c2cc(cc(c2)OC)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)C)C)c2c(c(c(s2)c2sc4-c5c(cc(s5)c5c(c(c(c6c7c(c(c8c6nc(c(n8)C)C)c6c(c(cs6)F)F)nsn7)s5)F)F)/C(=C\c5cc(cc(c5)OC)OC)/c4c2)F)F)nsn3)s1)F)F,-4.713830822,-3.246864248,1.466966574,0.613064406
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)C)C)c2c(c(c(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5c(c(c(c6c7c(c(c8c6nc(c(n8)C)C)c6c(c(c[se]6)F)F)nsn7)[se]5)F)F)[se]2)F)F)nsn4)[se]1)F)F)scc3)[CH]c1cc(cc(c1)OC)OC,-4.62049572,-3.337206096,1.283289624,0.463772054
