SMILES,log_solubility
CC(C)(C)c1cc(N)c2c(c1O)C(=O)c1ccccc1C2=O,2.251146953
Nc1cccc2c1C(=O)c1cccc(C(=O)O)c1C2=O,0.445083661
Nc1cc(O)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.424044933
CC(C)(C)c1cc(Br)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.737887203
Cc1cccc2c1C(=O)c1cccc(C)c1C2=O,1.326695128
CC(C)(C)c1ccc2c(c1N)C(=O)c1ccccc1C2=O,2.397876066
O=C1c2ccccc2C(=O)c2c(O)c(Cl)cc(S(=O)(=O)O)c21,1.424645588
Cc1cc2c(cc1Br)C(=O)c1ccccc1C2=O,1.276154155
O=C1c2ccccc2C(=O)c2c1ccc(Cl)c2Br,1.482928243
Nc1c(Cl)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.616855208
Nc1c(C(=O)O)ccc2c1C(=O)c1ccccc1C2=O,1.514012143
CC(C)(C)c1cc(C(C)(C)C)c2c(c1N)C(=O)c1ccccc1C2=O,2.690526131
O=C1c2ccccc2C(=O)c2c1ccc(Br)c2S(=O)(=O)O,0.968917674
O=C1c2ccc(Br)cc2C(=O)c2ccc(Cl)cc21,0.241836059
O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)O)c(S(=O)(=O)O)cc21,0.07559485
Nc1cc(C(=O)O)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.5120409
Nc1cccc2c1C(=O)c1c(cccc1S(=O)(=O)O)C2=O,0.93492375
Nc1cc(S(=O)(=O)O)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.036322091
Nc1c(Cl)cc(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.378995804
CC(C)(C)c1cc(Br)c(Cl)c2c1C(=O)c1ccccc1C2=O,2.080560916
CC(C)(C)c1cc2c(cc1C(C)(C)C)C(=O)c1ccccc1C2=O,2.55690091
Cc1cc2c(cc1C)C(=O)c1ccccc1C2=O,1.82710501
Cc1cccc2c1C(=O)c1cccc(C(C)(C)C)c1C2=O,1.691593078
Cc1cc(Br)c(Br)c2c1C(=O)c1ccccc1C2=O,1.711158053
Cc1cc(C(=O)O)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.753804562
Nc1c(S(=O)(=O)O)cc(O)c2c1C(=O)c1ccccc1C2=O,1.424044933
Nc1ccc2c(c1Br)C(=O)c1ccccc1C2=O,1.482027261
O=C(O)c1ccc2c(c1)C(=O)c1cc(O)ccc1C2=O,-0.12023111
CC(C)(C)c1cc(N)c(Cl)c2c1C(=O)c1ccccc1C2=O,2.206097824
O=C1c2ccccc2C(=O)c2c(Br)c(O)cc(Br)c21,1.515044175
Nc1c(C(=O)O)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.5120409
O=C1c2ccccc2C(=O)c2c(Br)c(Br)cc(S(=O)(=O)O)c21,1.127321333
Cc1c(S(=O)(=O)O)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.515945158
CC(C)(C)c1c(Br)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.975746607
O=C(O)c1cc(O)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.557690684
CC(C)(C)c1ccc2c(c1)C(=O)c1ccc(Cl)cc1C2=O,1.157684865
CC(C)(C)c1cc(C(C)(C)C)c(C(C)(C)C)c2c1C(=O)c1ccccc1C2=O,3.175555093
CC(C)(C)c1c(C(=O)O)cc(O)c2c1C(=O)c1ccccc1C2=O,2.1469333
CC(C)(C)c1cc(C(=O)O)c(Br)c2c1C(=O)c1ccccc1C2=O,1.975746607
O=C1c2ccccc2C(=O)c2c(Cl)c(Br)cc(S(=O)(=O)O)c21,1.253458896
CC(C)(C)c1c(S(=O)(=O)O)cc(O)c2c1C(=O)c1ccccc1C2=O,1.909073896
CC(C)(C)c1c(N)cc(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.863424111
Cc1cccc2c1C(=O)c1c(N)cccc1C2=O,1.81067883
O=C1c2ccccc2C(=O)c2c1c(O)cc(S(=O)(=O)O)c2S(=O)(=O)O,1.081971876
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,1.807281977
O=C(O)c1ccc2c(c1)C(=O)c1cc(S(=O)(=O)O)ccc1C2=O,-0.70181537
Nc1cc(Cl)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,1.616855208
O=C(O)c1cc(C(=O)O)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.169967842
CC(C)(C)c1c(N)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,2.101283515
O=C(O)c1ccc(O)c2c1C(=O)c1ccccc1C2=O,1.290186908
Cc1cc(C(=O)O)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.515945158
CC(C)(C)c1ccc(Cl)c2c1C(=O)c1ccccc1C2=O,2.106477137
Cc1cc(C(C)(C)C)c(C(C)(C)C)c2c1C(=O)c1ccccc1C2=O,2.932289793
CC(C)(C)c1ccc2c(c1S(=O)(=O)O)C(=O)c1ccccc1C2=O,1.88476648
CC(C)(C)c1cc(C(=O)O)c(Cl)c2c1C(=O)c1ccccc1C2=O,2.10188417
Cc1cc(O)c2c(c1N)C(=O)c1ccccc1C2=O,2.007881653
Nc1cc(Br)c2c(c1Cl)C(=O)c1ccccc1C2=O,1.595531953
Cc1cc(O)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.903668
Cc1cc(S(=O)(=O)O)c(N)c2c1C(=O)c1ccccc1C2=O,1.620158811
O=C(O)c1cc(Br)c2c(c1Br)C(=O)c1ccccc1C2=O,1.365180737
CC(C)(C)c1cc(C(C)(C)C)c2c(c1O)C(=O)c1ccccc1C2=O,2.736175916
Nc1c(S(=O)(=O)O)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.274181495
Nc1c(C(=O)O)cc(Cl)c2c1C(=O)c1ccccc1C2=O,1.616855208
Cc1cc(C(=O)O)c2c(c1C)C(=O)c1ccccc1C2=O,2.099781878
CC(C)(C)c1cc(Cl)c2c(c1O)C(=O)c1ccccc1C2=O,2.251747608
O=C1c2ccccc2C(=O)c2c1c(Cl)cc(Br)c2C(=O)O,1.4913183
Cc1cc(O)c2c(c1Br)C(=O)c1ccccc1C2=O,1.882344745
Nc1cc(Cl)c(N)c2c1C(=O)c1ccccc1C2=O,1.721068861
O=C1c2ccccc2C(=O)c2c1c(Cl)cc(O)c2S(=O)(=O)O,1.424645588
CC(C)(C)c1cc(N)c(O)c2c1C(=O)c1ccccc1C2=O,2.251146953
Cc1c(Cl)cc(Br)c2c1C(=O)c1ccccc1C2=O,1.837295616
O=C(O)c1cccc2c1C(=O)c1cccc(C(=O)O)c1C2=O,0.288763181
CC(C)(C)c1c(Cl)cc(Br)c2c1C(=O)c1ccccc1C2=O,2.080560916
O=C1c2ccccc2C(=O)c2c1c(O)cc(Br)c2C(=O)O,1.53636743
Cc1c(S(=O)(=O)O)cc(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.278085753
O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc(Br)c21,-0.1000108
Cc1c(N)cc(Br)c2c1C(=O)c1ccccc1C2=O,1.836694961
O=C1c2ccccc2C(=O)c2c(Cl)ccc(Cl)c21,1.379834676
Cc1cc(C(C)(C)C)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,2.343047178
Cc1cc2c(cc1C(C)(C)C)C(=O)c1ccccc1C2=O,2.19200296
Nc1cccc2c1C(=O)c1cccc(S(=O)(=O)O)c1C2=O,0.088294554
CC(C)(C)c1c(Br)ccc2c1C(=O)c1ccccc1C2=O,2.209570704
O=C(O)c1c(Cl)cc(Cl)c2c1C(=O)c1ccccc1C2=O,1.617455863
CC(C)(C)c1cc(O)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,2.1469333
O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,0.566189793
CC(C)(C)c1cc(S(=O)(=O)O)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.759210458
O=C1c2ccccc2C(=O)c2c1c(S(=O)(=O)O)cc(S(=O)(=O)O)c2S(=O)(=O)O,0.694249033
Cc1cc(N)c2c(c1N)C(=O)c1ccccc1C2=O,1.962231869
O=C1c2cccc(Cl)c2C(=O)c2c1cccc2S(=O)(=O)O,0.935824733
CC(C)(C)c1cc(N)c2c(c1Cl)C(=O)c1ccccc1C2=O,2.206097824
CC(C)(C)c1cc(O)c2c(c1N)C(=O)c1ccccc1C2=O,2.251146953
CC(C)(C)c1c(O)cc(Cl)c2c1C(=O)c1ccccc1C2=O,2.251747608
Cc1c(C(=O)O)cc(Cl)c2c1C(=O)c1ccccc1C2=O,1.85861887
Cc1cc(Br)c(C)c2c1C(=O)c1ccccc1C2=O,2.078458623
Cc1cc(C(C)(C)C)c(C)c2c1C(=O)c1ccccc1C2=O,2.689024493
CC(C)(C)c1cccc2c1C(=O)c1c(N)cccc1C2=O,2.17557678
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,1.37803271
Nc1c(S(=O)(=O)O)ccc2c1C(=O)c1ccccc1C2=O,1.157223036
CC(C)(C)c1cc(N)c2c(c1C(C)(C)C)C(=O)c1ccccc1C2=O,2.690526131
Cc1cc(C(C)(C)C)c(Br)c2c1C(=O)c1ccccc1C2=O,2.321723923
Cc1cccc2c1C(=O)c1c(Cl)cccc1C2=O,1.811579813
Cc1cc2c(cc1C(=O)O)C(=O)c1ccccc1C2=O,1.308139037
CC(C)(C)c1c(O)ccc2c1C(=O)c1ccccc1C2=O,2.466350743
Cc1cc(C(=O)O)c2c(c1Cl)C(=O)c1ccccc1C2=O,1.85861887
Cc1cc(S(=O)(=O)O)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.515945158
Cc1cc(S(=O)(=O)O)c2c(c1N)C(=O)c1ccccc1C2=O,1.620158811
Cc1cc(C(C)(C)C)c2c(c1S(=O)(=O)O)C(=O)c1ccccc1C2=O,2.105187773
CC(C)(C)c1cc(Cl)c(N)c2c1C(=O)c1ccccc1C2=O,2.206097824
Cc1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.584357724
CC(C)(C)c1cc(Br)c2c(c1O)C(=O)c1ccccc1C2=O,2.125610045
Nc1cc(Cl)c2c(c1N)C(=O)c1ccccc1C2=O,1.721068861
Cc1cc(S(=O)(=O)O)c(Br)c2c1C(=O)c1ccccc1C2=O,1.494621903
CC(C)(C)c1cc2c(cc1Br)C(=O)c1ccccc1C2=O,1.641052105
O=C1c2ccc(Cl)cc2C(=O)c2cc(S(=O)(=O)O)ccc21,-0.54459391
O=C(O)c1cc(Br)c2c(c1S(=O)(=O)O)C(=O)c1ccccc1C2=O,1.148644587
Cc1cc(O)c2c(c1Cl)C(=O)c1ccccc1C2=O,2.008482308
O=C(O)c1cc(Br)c2c(c1O)C(=O)c1ccccc1C2=O,1.53636743
O=C(O)c1cc(Cl)c2c(c1Br)C(=O)c1ccccc1C2=O,1.4913183
Nc1cc(Br)c2c(c1O)C(=O)c1ccccc1C2=O,1.640581083
O=C1c2ccccc2C(=O)c2c1ccc(Br)c2Br,1.293721899
CC(C)(C)c1cccc2c1C(=O)c1c(Br)cccc1C2=O,1.987271418
O=C1c2cccc(Br)c2C(=O)c2cccc(Cl)c21,0.413999762
O=C(O)c1cc(S(=O)(=O)O)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,1.169967842
O=C(O)c1ccc2c(c1)C(=O)c1ccc(Br)cc1C2=O,0.084614597
CC(C)(C)c1cc(Cl)c2c(c1S(=O)(=O)O)C(=O)c1ccccc1C2=O,1.864024766
Nc1c(O)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.661904338
Cc1c(C(C)(C)C)cc(Cl)c2c1C(=O)c1ccccc1C2=O,2.447861486
Nc1cc(C(=O)O)c2c(c1Br)C(=O)c1ccccc1C2=O,1.490717645
Cc1c(O)cc(N)c2c1C(=O)c1ccccc1C2=O,2.007881653
Cc1c(C(=O)O)cc(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.515945158
O=C(O)c1cc(O)c2c(c1S(=O)(=O)O)C(=O)c1ccccc1C2=O,1.31983128
Cc1cc(C(C)(C)C)c(N)c2c1C(=O)c1ccccc1C2=O,2.447260831
Nc1cc(O)c2c(c1N)C(=O)c1ccccc1C2=O,1.766117991
